"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","1,451","3,638","27,733","41,278","55,749","69,459","97,673"
"Brazil","754","1,747","8,209","11,923","15,346","18,932","27,690"
"Mexico","398","931","4,805","6,958","11,422","14,546","21,535"
"Indonesia","527","1,137","5,905","9,823","13,281","15,278","18,411"
"Vietnam","349","829","3,783","6,154","8,516","10,219","14,828"
"Russian Federation","522","1,139","5,404","8,402","10,426","11,908","13,791"
"United States","618","1,396","5,531","6,722","8,431","10,208","13,352"
"Philippines","336","728","3,159","5,329","7,265","8,447","10,278"
"Pakistan","197","527","3,214","4,849","6,130","7,356","9,307"
"Turkey","354","831","3,755","5,686","7,310","8,018","8,984"
"Egypt","214","539","3,597","5,092","5,802","7,033","8,828"
"Thailand","168","377","2,178","3,090","3,613","4,515","6,628"
"France","152","365","1,430","2,041","2,586","3,432","6,267"
"Colombia","134","358","1,786","2,493","3,639","4,546","6,252"
"Peru","89","243","1,200","2,036","3,371","4,413","6,218"
"Argentina","158","366","1,691","2,364","3,760","4,597","5,972"
"Algeria","100","244","1,415","1,943","2,461","3,098","4,343"
"Korea, Republic Of","84","202","1,379","1,892","2,683","3,305","4,195"
"Germany","189","420","1,425","1,922","2,402","2,752","3,768"
"Ukraine","156","317","1,474","1,976","2,316","2,755","3,751"
"Ecuador","53","130","725","1,085","1,740","2,384","3,232"
"Spain","97","228","989","1,301","1,619","2,089","2,995"
"Chile","74","198","916","1,455","1,912","2,357","2,988"
"United Kingdom (UK)","119","274","1,007","1,230","1,606","1,817","2,925"
"Italy","115","250","1,104","1,432","1,824","2,057","2,763"
"Poland","134","284","1,030","1,354","1,747","2,109","2,740"
"Kazakhstan","86","190","1,049","1,436","1,715","1,892","2,340"
"Malaysia","96","216","1,049","1,466","1,766","1,956","2,303"
"Saudi Arabia","62","152","1,008","1,357","1,584","1,797","2,225"
"Japan","48","120","735","1,116","1,458","1,656","2,206"
"South Africa","52","124","595","850","1,099","1,291","2,020"
"Venezuela","45","99","475","637","1,010","1,277","1,631"
"Taiwan","38","95","416","572","766","995","1,406"
"Canada","56","133","501","633","743","957","1,350"
"Romania","56","131","553","726","915","1,031","1,348"
"Jordan","36","87","529","719","870","1,015","1,236"
"Tunisia","23","59","336","440","552","727","1,072"
"Nigeria","19","49","298","504","651","712","1,044"
"Belarus","36","77","345","501","602","644","911"
"Australia","39","94","349","461","551","630","879"
"Portugal","28","67","274","383","492","598","787"
"Netherlands","35","83","304","402","493","577","763"
"Greece","33","72","288","382","477","549","740"
"Czech Republic","36","75","279","347","414","473","736"
"Belgium","28","66","251","329","390","444","735"
"Lebanon","22","52","265","339","432","506","685"
"United Arab Emirates","16","43","215","305","404","482","613"
"Israel","21","55","271","361","422","500","610"
"Hungary","34","71","253","303","354","387","591"
"Bulgaria","19","40","161","217","264","303","411"
"Hong Kong","12","28","106","152","195","238","390"
"Oman","8","22","147","192","227","267","363"
"Uruguay","11","28","122","179","236","289","358"
"Sweden","13","36","128","166","192","231","332"
"Austria","17","38","132","170","195","222","317"
"Singapore","13","30","115","157","185","202","271"
"Slovakia","16","35","119","152","183","201","269"
"Croatia","12","26","97","128","146","167","243"
"Switzerland","10","25","93","118","136","171","243"
"New Zealand","11","27","102","135","156","175","238"
"Finland","8","17","70","96","112","129","211"
"Ireland","7","18","78","101","116","131","196"
"Lithuania","11","24","92","115","138","155","189"
"Denmark","9","20","69","89","105","120","171"
"Norway","6","16","62","76","92","111","167"
"Kuwait","5","14","73","94","114","125","154"
"Qatar","4","10","55","75","98","120","148"
"Latvia","6","13","52","68","79","89","117"
"Slovenia","4","10","43","54","67","73","94"
"Estonia","3","7","29","37","44","48","69"
"Macao","0","0","1","1","2","2","2"